critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,5.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',6164,-0.05122619273505613,1.0,20.0,,5.0,0.0,burger,[0.0]
4,78.0,b'The Works Gourmet Burger Bistro',6164,-0.05122619273505613,2.0,20.0,,5.0,0.0,fry,"[0.0, 0.0]"
5,78.0,b'The Works Gourmet Burger Bistro',7155,-0.4988736434927013,3.0,20.0,,5.0,0.0,fried,"[0.0, 0.0, 1.0]"
7,78.0,b'The Works Gourmet Burger Bistro',5476,-0.09914427416618297,4.0,20.0,,5.0,0.0,dinner,"[0.0, 1.0, 1.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',5476,-0.09914427416618297,5.0,20.0,,5.0,0.0,vegetarian,"[0.0, 1.0, 1.0, 1.0, 0.0]"
27,78.0,b'The Works Gourmet Burger Bistro',5476,-0.09914427416618297,6.0,20.0,,5.0,0.0,bbq,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
34,78.0,b'The Works Gourmet Burger Bistro',5476,-0.09914427416618297,7.0,20.0,,5.0,0.0,potato,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
35,78.0,b'The Works Gourmet Burger Bistro',5476,-0.09914427416618297,8.0,20.0,,5.0,0.0,crispy,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
49,78.0,b'The Works Gourmet Burger Bistro',315,1.1594561071662945,9.0,20.0,,5.0,0.0,cheese,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',343,1.2022246323535866,10.0,20.0,,5.0,0.0,beef,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',340,1.2680158415925855,11.0,20.0,,5.0,0.0,chicken,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',364,1.247383155686621,12.0,20.0,,5.0,0.0,patty,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
96,78.0,b'The Works Gourmet Burger Bistro',340,1.2680158415925855,13.0,20.0,,5.0,0.0,poutine,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]"
119,78.0,b'The Works Gourmet Burger Bistro',364,1.247383155686621,14.0,20.0,,5.0,0.0,bun,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
126,78.0,b'The Works Gourmet Burger Bistro',340,1.2680158415925855,15.0,20.0,,5.0,0.0,milk,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]"
153,78.0,b'The Works Gourmet Burger Bistro',312,1.5834194139666282,16.0,20.0,,5.0,0.0,friendly,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
182,78.0,b'The Works Gourmet Burger Bistro',292,1.6040520998725931,17.0,20.0,,5.0,0.0,chip,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
193,78.0,b'The Works Gourmet Burger Bistro',281,1.561283574685301,18.0,20.0,,5.0,0.0,mayo,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
206,78.0,b'The Works Gourmet Burger Bistro',294,1.5406508887793366,19.0,20.0,,5.0,0.0,salt,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
