critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,87.0,,20.0,0.0,,
81,78.0,b'The Works Gourmet Burger Bistro',7104,-0.2363931268340801,1.0,87.0,,20.0,0.0,juice,[1.0]
35,78.0,b'The Works Gourmet Burger Bistro',6926,-0.24670946978706235,2.0,87.0,,20.0,0.0,crispy,"[1.0, 1.0]"
215,78.0,b'The Works Gourmet Burger Bistro',7232,-0.4229023952987627,3.0,87.0,,20.0,0.0,sour,"[1.0, 1.0, 1.0]"
142,78.0,b'The Works Gourmet Burger Bistro',7200,-0.8435956792441148,4.0,87.0,,20.0,0.0,window,"[1.0, 1.0, 1.0, 1.0]"
90,78.0,b'The Works Gourmet Burger Bistro',6837,-0.5171231016560052,5.0,87.0,,20.0,0.0,tuna,"[-1.0, 1.0, 1.0, 1.0, 1.0]"
26,78.0,b'The Works Gourmet Burger Bistro',6934,-0.5910767909698943,6.0,87.0,,20.0,0.0,downtown,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
208,78.0,b'The Works Gourmet Burger Bistro',7068,-0.6999057854925348,7.0,87.0,,20.0,0.0,topped,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
40,78.0,b'The Works Gourmet Burger Bistro',7022,-0.687529853462272,8.0,87.0,,20.0,0.0,pizza,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
43,78.0,b'The Works Gourmet Burger Bistro',7117,-0.8742529075347468,9.0,87.0,,20.0,0.0,cake,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0]"
50,78.0,b'The Works Gourmet Burger Bistro',6514,-0.5321632126102067,10.0,87.0,,20.0,0.0,salad,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0]"
97,78.0,b'The Works Gourmet Burger Bistro',6643,-0.607702423774402,11.0,87.0,,20.0,0.0,toast,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0]"
152,78.0,b'The Works Gourmet Burger Bistro',6226,-0.45784397229780716,12.0,87.0,,20.0,0.0,fresh,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',6213,-0.4364597097041606,13.0,87.0,,20.0,0.0,beef,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
163,78.0,b'The Works Gourmet Burger Bistro',6604,-0.6024498918996144,14.0,87.0,,20.0,0.0,dog,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
48,78.0,b'The Works Gourmet Burger Bistro',6885,-0.8003003794243047,15.0,87.0,,20.0,0.0,burger,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
113,78.0,b'The Works Gourmet Burger Bistro',7157,-1.1869735926230525,16.0,87.0,,20.0,0.0,bacon,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0]"
119,78.0,b'The Works Gourmet Burger Bistro',7258,-1.4743483763199572,17.0,87.0,,20.0,0.0,bun,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
185,78.0,b'The Works Gourmet Burger Bistro',7294,-1.577041862408993,18.0,87.0,,20.0,0.0,wait,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
77,78.0,b'The Works Gourmet Burger Bistro',7285,-1.5473414075713436,19.0,87.0,,20.0,0.0,pop,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0]"
85,78.0,b'The Works Gourmet Burger Bistro',7164,-1.1848382064899303,20.0,87.0,fail,20.0,0.0,patty,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
,623.0,b'El Rey Mezcal Bar',,,0.0,60.0,,20.0,0.0,patty,"[-1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, 1.0, 1.0]"
16,623.0,b'El Rey Mezcal Bar',360,0.23525644516744096,1.0,60.0,,20.0,0.0,casual,[1.0]
34,623.0,b'El Rey Mezcal Bar',505,0.23287947904243184,2.0,60.0,,20.0,0.0,potato,"[1.0, -1.0]"
193,623.0,b'El Rey Mezcal Bar',6285,-0.14523791629747795,3.0,60.0,,20.0,0.0,mayo,"[1.0, -1.0, 1.0]"
74,623.0,b'El Rey Mezcal Bar',5464,-0.09310319175750889,4.0,60.0,,20.0,0.0,skewer,"[1.0, -1.0, 1.0, 1.0]"
181,623.0,b'El Rey Mezcal Bar',7022,-0.35923482263845197,5.0,60.0,,20.0,0.0,music,"[1.0, -1.0, 1.0, 1.0, -1.0]"
3,623.0,b'El Rey Mezcal Bar',6912,-0.3724069720710942,6.0,60.0,,20.0,0.0,bar,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0]"
175,623.0,b'El Rey Mezcal Bar',6372,-0.22165770412344488,7.0,60.0,,20.0,0.0,helpful,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0]"
60,623.0,b'El Rey Mezcal Bar',7078,-0.5273043118204194,8.0,60.0,,20.0,0.0,squid,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0]"
199,623.0,b'El Rey Mezcal Bar',7140,-0.5656827634920119,9.0,60.0,,20.0,0.0,chili,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0]"
96,623.0,b'El Rey Mezcal Bar',6659,-0.3127592427930681,10.0,60.0,,20.0,0.0,poutine,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0]"
187,623.0,b'El Rey Mezcal Bar',6769,-0.347147690785008,11.0,60.0,,20.0,0.0,spicy,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0]"
167,623.0,b'El Rey Mezcal Bar',6938,-0.4373122119312356,12.0,60.0,,20.0,0.0,pleasant,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0]"
190,623.0,b'El Rey Mezcal Bar',6936,-0.411964339309558,13.0,60.0,,20.0,0.0,smooth,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0]"
66,623.0,b'El Rey Mezcal Bar',2068,0.1930907853711365,14.0,60.0,,20.0,0.0,octopus,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0]"
117,623.0,b'El Rey Mezcal Bar',2069,0.19044186247252082,15.0,60.0,,20.0,0.0,rib,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0]"
204,623.0,b'El Rey Mezcal Bar',1315,0.3639502292960084,16.0,60.0,,20.0,0.0,dip,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, 1.0]"
171,623.0,b'El Rey Mezcal Bar',5214,-0.07153871418105334,17.0,60.0,,20.0,0.0,fancy,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
148,623.0,b'El Rey Mezcal Bar',4656,-0.018498417232871406,18.0,60.0,,20.0,0.0,mall,"[1.0, -1.0, 1.0, 1.0, -1.0, -1.0, -1.0, 1.0, 1.0, -1.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0, 1.0]"
